#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NZ_CP015164.1	98	1621	+	34212055	-	A4S02_RS00010	WP_070322554.1	507	efflux transporter outer membrane subunit
chr	NZ_CP015164.1	1631	2365	+	34210271	-	A4S02_RS00015	WP_070322555.1	244	hypothetical protein
chr	NZ_CP015164.1	2515	3339	+	34212344	-	A4S02_RS00020	WP_082246712.1	274	IS5 family transposase
chr	NZ_CP015164.1	3379	3726	-	34211261	arsC	A4S02_RS00025	WP_070322557.1	115	arsenate reductase (glutaredoxin)
chr	NZ_CP015164.1	3807	5498	+	34210985	-	A4S02_RS00030	WP_070322558.1	563	SulP family inorganic anion transporter
chr	NZ_CP015164.1	5502	6278	-	34211413	-	A4S02_RS00035	WP_070322559.1	258	sulfite exporter TauE/SafE family protein
chr	NZ_CP015164.1	6307	7233	-	34210617	-	A4S02_RS00040	WP_070322560.1	308	MBL fold metallo-hydrolase
chr	NZ_CP015164.1	7322	8002	+	34211438	-	A4S02_RS00045	WP_070322561.1	226	peroxiredoxin
chr	NZ_CP015164.1	8007	8438	+	34211064	-	A4S02_RS00050	WP_070322562.1	143	winged helix-turn-helix transcriptional regulator
chr	NZ_CP015164.1	8453	9016	+	34211703	-	A4S02_RS00055	WP_070322563.1	187	DNA-3-methyladenine glycosylase I
chr	NZ_CP015164.1	9087	9533	+	34211431	-	A4S02_RS00060	WP_070322564.1	148	hypothetical protein
chr	NZ_CP015164.1	9560	9922	+	34212512	-	A4S02_RS00065	WP_070322565.1	120	ArsC family reductase
chr	NZ_CP015164.1	9972	10457	-	34212817	bfr	A4S02_RS00070	WP_070322566.1	161	bacterioferritin
chr	NZ_CP015164.1	10644	11669	-	34211517	-	A4S02_RS00075	WP_070322567.1	341	DUF4105 domain-containing protein
chr	NZ_CP015164.1	11666	13630	-	34210364	-	A4S02_RS00080	WP_070322568.1	654	alpha/beta hydrolase
chr	NZ_CP015164.1	13751	14341	+	34210254	-	A4S02_RS00085	WP_070322569.1	196	phosphoglycerate mutase
chr	NZ_CP015164.1	14663	16339	+	34212603	-	A4S02_RS00090	WP_070322570.1	558	alpha-keto acid decarboxylase family protein
chr	NZ_CP015164.1	16407	17441	-	34210988	-	A4S02_RS00095	WP_070322571.1	344	HoxN/HupN/NixA family nickel/cobalt transporter
chr	NZ_CP015164.1	17631	18452	+	34211185	-	A4S02_RS00100	WP_070322572.1	273	urease accessory protein UreD
chr	NZ_CP015164.1	18481	18783	+	34212600	-	A4S02_RS00105	WP_070322573.1	100	urease subunit gamma
chr	NZ_CP015164.1	18767	19111	+	34210758	-	A4S02_RS00110	WP_070322574.1	114	urease subunit beta
chr	NZ_CP015164.1	19108	20814	+	34211251	ureC	A4S02_RS00115	WP_070322575.1	568	urease subunit alpha
chr	NZ_CP015164.1	20814	21299	+	34211218	-	A4S02_RS00120	WP_070322576.1	161	urease accessory protein UreE
chr	NZ_CP015164.1	21277	21975	+	34210924	-	A4S02_RS00125	WP_070322577.1	232	urease accessory protein UreF
chr	NZ_CP015164.1	21972	22586	+	34210920	ureG	A4S02_RS00130	WP_070322578.1	204	urease accessory protein UreG
chr	NZ_CP015164.1	22939	24060	+	34211037	-	A4S02_RS00135	WP_070322579.1	373	porin
chr	NZ_CP015164.1	24111	24560	+	34212077	-	A4S02_RS00140	WP_070322580.1	149	hypothetical protein
chr	NZ_CP015164.1	24593	25480	-	34210547	-	A4S02_RS00145	WP_070322581.1	295	response regulator transcription factor
chr	NZ_CP015164.1	25477	26052	-	34210431	-	A4S02_RS00150	WP_070322582.1	191	response regulator
chr	NZ_CP015164.1	26176	26418	+	34212187	-	A4S02_RS00155	WP_070322583.1	80	hypothetical protein
chr	NZ_CP015164.1	26476	27861	+	34211533	-	A4S02_RS00160	WP_070322584.1	461	IS1380 family transposase
chr	NZ_CP015164.1	30903	32243	+	34210724	urtA	A4S02_RS00170	WP_070322585.1	446	urea ABC transporter substrate-binding protein
chr	NZ_CP015164.1	32236	33840	+	34211116	urtB	A4S02_RS00175	WP_070322586.1	534	urea ABC transporter permease subunit UrtB
chr	NZ_CP015164.1	33837	34976	+	34212230	urtC	A4S02_RS00180	WP_070322587.1	379	urea ABC transporter permease subunit UrtC
chr	NZ_CP015164.1	34973	35713	+	34212492	urtD	A4S02_RS00185	WP_070322588.1	246	urea ABC transporter ATP-binding protein UrtD
chr	NZ_CP015164.1	35752	36447	+	34211451	urtE	A4S02_RS00190	WP_070322589.1	231	urea ABC transporter ATP-binding subunit UrtE
chr	NZ_CP015164.1	37838	38131	+	34212105	-	A4S02_RS00210	WP_099046899.1	97	hypothetical protein
chr	NZ_CP015164.1	38140	38574	-	34212080	-	A4S02_RS00215	WP_070322591.1	144	DUF1489 family protein
chr	NZ_CP015164.1	38619	39773	-	34212466	-	A4S02_RS00220	WP_070322592.1	384	coproporphyrinogen III oxidase
chr	NZ_CP015164.1	39778	41760	-	34212742	-	A4S02_RS00225	WP_070322593.1	660	potassium transporter Kup
