#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NZ_CP021524.1	1	1434	+	-	-	S101447_RS00005	WP_019090304.1	477	MULTISPECIES: chromosomal replication initiator protein DnaA
chr	NZ_CP021524.1	1550	2674	+	-	-	S101447_RS00010	WP_070325144.1	374	DNA polymerase III subunit beta
chr	NZ_CP021524.1	2720	3868	+	-	-	S101447_RS00015	WP_087635102.1	382	DNA replication/repair protein RecF
chr	NZ_CP021524.1	3959	6397	+	-	gyrB	S101447_RS00020	WP_019090301.1	812	MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B
chr	NZ_CP021524.1	6513	7346	-	-	-	S101447_RS00025	WP_019090300.1	277	MULTISPECIES: 3-deoxy-8-phosphooctulonate synthase
chr	NZ_CP021524.1	7343	8977	-	-	-	S101447_RS00030	WP_087635103.1	544	CTP synthase
chr	NZ_CP021524.1	9119	9463	-	-	secG	S101447_RS00035	WP_019090298.1	114	MULTISPECIES: preprotein translocase subunit SecG
chr	NZ_CP021524.1	9490	10230	-	-	-	S101447_RS00040	WP_019090297.1	246	MULTISPECIES: triose-phosphate isomerase
chr	NZ_CP021524.1	10477	12396	+	-	-	S101447_RS00045	WP_087635104.1	639	peptidylprolyl isomerase
chr	NZ_CP021524.1	12393	13934	+	-	trpE	S101447_RS00050	WP_087635105.1	513	anthranilate synthase component I
chr	NZ_CP021524.1	13993	14589	+	-	-	S101447_RS00055	WP_087635106.1	198	aminodeoxychorismate/anthranilate synthase component II
chr	NZ_CP021524.1	14589	15701	+	-	trpD	S101447_RS00060	WP_087635107.1	370	anthranilate phosphoribosyltransferase
chr	NZ_CP021524.1	15719	16585	+	-	-	S101447_RS00065	WP_019090292.1	288	MULTISPECIES: indole-3-glycerol phosphate synthase TrpC
chr	NZ_CP021524.1	16587	17063	+	-	moaC	S101447_RS00070	WP_019090291.1	158	MULTISPECIES: cyclic pyranopterin monophosphate synthase MoaC
chr	NZ_CP021524.1	17191	18201	+	-	pdhA	S101447_RS00075	WP_019090290.1	336	MULTISPECIES: pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
chr	NZ_CP021524.1	18210	19565	+	-	-	S101447_RS00080	WP_087635108.1	451	pyruvate dehydrogenase complex E1 component subunit beta
chr	NZ_CP021524.1	19577	20827	+	-	-	S101447_RS00085	WP_087635109.1	416	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase
chr	NZ_CP021524.1	20858	22270	+	-	lpdA	S101447_RS00090	WP_087635110.1	470	dihydrolipoyl dehydrogenase
chr	NZ_CP021524.1	22392	23372	+	-	lipA	S101447_RS00095	WP_026019506.1	326	MULTISPECIES: lipoyl synthase
chr	NZ_CP021524.1	23372	23860	+	-	-	S101447_RS00100	WP_019090285.1	162	MULTISPECIES: type II toxin-antitoxin system RatA family toxin
chr	NZ_CP021524.1	24009	24434	+	-	-	S101447_RS00105	WP_087635111.1	141	hypothetical protein
chr	NZ_CP021524.1	24492	25004	-	-	-	S101447_RS00110	WP_087635112.1	170	nicotinamide-nucleotide amidohydrolase family protein
chr	NZ_CP021524.1	25021	25497	-	-	-	S101447_RS00115	WP_019090282.1	158	MULTISPECIES: phosphatidylglycerophosphatase A
chr	NZ_CP021524.1	25499	27475	-	-	-	S101447_RS00120	WP_087635113.1	658	lytic transglycosylase domain-containing protein
chr	NZ_CP021524.1	27534	28145	-	-	-	S101447_RS00125	WP_087635114.1	203	TerC family protein
chr	NZ_CP021524.1	28317	29666	+	-	-	S101447_RS00130	WP_012812894.1	449	MULTISPECIES: adenylosuccinate lyase
chr	NZ_CP021524.1	29822	30589	+	-	-	S101447_RS00135	WP_003630621.1	255	MULTISPECIES: phosphoribosylaminoimidazolesuccinocarboxamide synthase
chr	NZ_CP021524.1	30618	30860	+	-	-	S101447_RS00140	WP_003630619.1	80	MULTISPECIES: phosphoribosylformylglycinamidine synthase subunit PurS
chr	NZ_CP021524.1	30857	31228	+	-	-	S101447_RS00145	WP_019090278.1	123	MULTISPECIES: hypothetical protein
chr	NZ_CP021524.1	31225	31926	+	-	-	S101447_RS00150	WP_070323017.1	233	phosphoribosylformylglycinamidine synthase subunit PurQ
chr	NZ_CP021524.1	31923	34127	+	-	-	S101447_RS00155	WP_087635115.1	734	phosphoribosylformylglycinamidine synthase subunit PurL
chr	NZ_CP021524.1	34154	34384	+	-	-	S101447_RS00160	WP_006115272.1	76	MULTISPECIES: BolA family transcriptional regulator
chr	NZ_CP021524.1	34411	34749	+	-	grxD	S101447_RS00165	WP_087635116.1	112	Grx4 family monothiol glutaredoxin
chr	NZ_CP021524.1	34822	35139	+	-	-	S101447_RS00170	WP_019090275.1	105	MULTISPECIES: hypothetical protein
chr	NZ_CP021524.1	35201	35668	-	-	-	S101447_RS00175	WP_087635117.1	155	hypothetical protein
chr	NZ_CP021524.1	35649	37076	+	-	cls	S101447_RS00180	WP_019090273.1	475	MULTISPECIES: cardiolipin synthase
chr	NZ_CP021524.1	37080	37763	-	-	-	S101447_RS00185	WP_019090272.1	227	MULTISPECIES: endonuclease/exonuclease/phosphatase
chr	NZ_CP021524.1	37760	38851	-	-	-	S101447_RS00190	WP_019090271.1	363	MULTISPECIES: AI-2E family transporter
chr	NZ_CP021524.1	38921	39862	+	-	-	S101447_RS00195	WP_087635118.1	313	sulfurtransferase
chr	NZ_CP021524.1	39859	41067	+	-	metC	S101447_RS00200	WP_087635119.1	402	cystathionine beta-lyase
chr	NZ_CP021524.1	41095	42606	-	-	-	S101447_RS00205	WP_087635120.1	503	ATP-binding protein
chr	NZ_CP021524.1	42609	43868	-	-	-	S101447_RS00210	WP_004449129.1	419	MULTISPECIES: phosphoglycerate dehydrogenase
chr	NZ_CP021524.1	43972	44778	-	-	-	S101447_RS00215	WP_080585988.1	268	MULTISPECIES: histidinol phosphate phosphatase
chr	NZ_CP021524.1	44766	45284	-	-	-	S101447_RS00220	WP_087635121.1	172	c-type cytochrome
chr	NZ_CP021524.1	45393	46127	+	-	-	S101447_RS00225	WP_070325156.1	244	3-deoxy-manno-octulosonate cytidylyltransferase
chr	NZ_CP021524.1	46135	47022	+	-	-	S101447_RS00230	WP_087635122.1	295	prephenate dehydratase
