#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NZ_CP011120.1	370	1002	+	-	-	WG31_RS00005	WP_035353107.1	210	MULTISPECIES: semialdehyde dehydrogenase
chr	NZ_CP011120.1	1510	3177	+	-	-	WG31_RS00015	WP_063353237.1	555	alpha-D-glucose phosphate-specific phosphoglucomutase
chr	NZ_CP011120.1	3289	3768	-	-	-	WG31_RS00020	WP_063353238.1	159	YaiI/YqxD family protein
chr	NZ_CP011120.1	4010	4534	+	-	-	WG31_RS00025	WP_006116598.1	174	MULTISPECIES: periplasmic heavy metal sensor
chr	NZ_CP011120.1	4670	5911	+	-	-	WG31_RS00030	WP_063353239.1	413	multidrug effflux MFS transporter
chr	NZ_CP011120.1	5941	6327	-	-	-	WG31_RS00035	WP_063353240.1	128	hypothetical protein
chr	NZ_CP011120.1	6358	6543	-	-	-	WG31_RS00040	WP_003623252.1	61	MULTISPECIES: Trm112 family protein
chr	NZ_CP011120.1	6570	7274	-	-	-	WG31_RS00045	WP_006116601.1	234	MULTISPECIES: peptidase
chr	NZ_CP011120.1	7289	8248	-	-	-	WG31_RS00050	WP_063353241.1	319	tetratricopeptide repeat protein
chr	NZ_CP011120.1	8487	11351	+	-	-	WG31_RS00055	WP_063353242.1	954	MULTISPECIES: excinuclease ABC subunit UvrA
chr	NZ_CP011120.1	11351	12190	+	-	-	WG31_RS00060	WP_063353243.1	279	creatininase family protein
chr	NZ_CP011120.1	12298	13596	+	-	-	WG31_RS00065	WP_082823092.1	432	YncE family protein
chr	NZ_CP011120.1	13678	14910	+	-	-	WG31_RS00070	WP_063353245.1	410	DUF2075 domain-containing protein
chr	NZ_CP011120.1	15145	15705	+	-	-	WG31_RS00075	WP_006116607.1	186	MULTISPECIES: NifU family protein
chr	NZ_CP011120.1	15774	16403	+	-	-	WG31_RS00080	WP_063353246.1	209	malonic semialdehyde reductase
chr	NZ_CP011120.1	16400	17092	+	-	-	WG31_RS00085	WP_063353247.1	230	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
chr	NZ_CP011120.1	17089	17547	+	-	-	WG31_RS00090	WP_063353248.1	152	ribosomal-protein-alanine N-acetyltransferase
chr	NZ_CP011120.1	17598	18881	-	-	-	WG31_RS00095	WP_006116611.1	427	MULTISPECIES: phosphoribosylamine--glycine ligase
chr	NZ_CP011120.1	18933	20387	+	-	-	WG31_RS00100	WP_063353249.1	484	exodeoxyribonuclease VII large subunit
chr	NZ_CP011120.1	20486	20827	+	-	-	WG31_RS00105	WP_006116613.1	113	MULTISPECIES: hypothetical protein
chr	NZ_CP011120.1	21000	22175	+	-	-	WG31_RS00115	WP_063353250.1	391	phosphoserine transaminase
chr	NZ_CP011120.1	22259	23650	-	-	-	WG31_RS00120	WP_006116615.1	463	MULTISPECIES: NAD-dependent succinate-semialdehyde dehydrogenase
chr	NZ_CP011120.1	23690	24718	-	-	-	WG31_RS00125	WP_063353251.1	342	MULTISPECIES: alcohol dehydrogenase AdhP
chr	NZ_CP011120.1	24795	26210	-	-	-	WG31_RS00130	WP_063353252.1	471	NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta
chr	NZ_CP011120.1	26211	26537	-	-	-	WG31_RS00135	WP_063353253.1	108	NAD(P) transhydrogenase subunit alpha
chr	NZ_CP011120.1	26534	27685	-	-	-	WG31_RS00140	WP_063354806.1	383	NAD(P) transhydrogenase subunit alpha
chr	NZ_CP011120.1	28086	29108	+	-	-	WG31_RS00145	WP_006116620.1	340	MULTISPECIES: aspartate-semialdehyde dehydrogenase
chr	NZ_CP011120.1	29245	29718	+	-	-	WG31_RS00150	WP_006116621.1	157	MULTISPECIES: succinate dehydrogenase, cytochrome b556 subunit
chr	NZ_CP011120.1	29720	30133	+	-	-	WG31_RS00155	WP_006116622.1	137	MULTISPECIES: succinate dehydrogenase, hydrophobic membrane anchor protein
chr	NZ_CP011120.1	30251	32062	+	-	-	WG31_RS00160	WP_063353254.1	603	MULTISPECIES: succinate dehydrogenase flavoprotein subunit
chr	NZ_CP011120.1	32099	32881	+	-	-	WG31_RS00165	WP_006116624.1	260	MULTISPECIES: succinate dehydrogenase iron-sulfur subunit
chr	NZ_CP011120.1	33058	33720	+	-	-	WG31_RS00170	WP_063354807.1	220	protein tyrosine phosphatase
chr	NZ_CP011120.1	33782	34663	+	-	-	WG31_RS00175	WP_063353255.1	293	MULTISPECIES: DMT family transporter
chr	NZ_CP011120.1	34746	35969	-	-	-	WG31_RS00180	WP_006116627.1	407	MULTISPECIES: phosphoglycerate kinase
chr	NZ_CP011120.1	35969	36991	-	-	-	WG31_RS00185	WP_006116628.1	340	MULTISPECIES: type I glyceraldehyde-3-phosphate dehydrogenase
